Wall time,Step,Value
1767445464.048443,25000,-143.98886108398438
1767445467.7343986,32768,-143.98886108398438
1767445490.9878972,50000,-146.18881225585938
1767445497.567429,65536,-146.18881225585938
1767445517.1424158,75000,-146.18881225585938
1767445527.6974585,98304,-146.18881225585938
1767445544.7613409,100000,-146.18881225585938
1767445561.7043636,125000,-146.18881225585938
1767445564.7366338,131072,-146.18881225585938
1767445590.692959,150000,-146.18881225585938
1767445596.728191,163840,-146.18881225585938
1767445617.1342354,175000,-146.18881225585938
1767445626.3482296,196608,-146.18881225585938
1767445643.4003866,200000,-146.18881225585938
1767445659.2625864,225000,-146.18881225585938
1767445661.197634,229376,-146.18881225585938
1767445685.5081503,250000,-145.08883666992188
1767445690.689809,262144,-145.08883666992188
1767445711.7449687,275000,-146.18881225585938
1767445720.3050377,294912,-146.18881225585938
1767445738.1257775,300000,-146.18881225585938
1767445753.803751,325000,-146.18881225585938
1767445755.0154388,327680,-146.18881225585938
1767445779.7345057,350000,-146.18881225585938
1767445784.2618227,360448,-146.18881225585938
1767445805.5141284,375000,-145.08883666992188
1767445813.2353773,393216,-145.08883666992188
1767445831.2891085,400000,-146.18882751464844
1767445846.986647,425000,-146.18882751464844
1767445847.4733248,425984,-146.18882751464844
1767445872.9864984,450000,-146.18881225585938
1767445877.0331147,458752,-146.18881225585938
1767445899.185739,475000,-146.18881225585938
1767445906.2153094,491520,-146.18881225585938
1767445925.2597408,500000,-146.18881225585938
1767445935.5369008,524288,-146.18881225585938
1767445951.682538,525000,-145.08883666992188
1767445967.358354,550000,-145.08883666992188
1767445970.3799071,557056,-145.08883666992188
1767445993.320028,575000,-146.18881225585938
1767445999.560924,589824,-146.18881225585938
1767446019.2400987,600000,-146.18881225585938
1767446028.7165215,622592,-146.18881225585938
1767446045.2374732,625000,-146.18881225585938
1767446060.640665,650000,-146.18881225585938
1767446062.9561555,655360,-146.18881225585938
1767446086.4981542,675000,-146.18881225585938
1767446092.1985862,688128,-146.18881225585938
1767446112.4389005,700000,-146.18881225585938
1767446121.7208843,720896,-146.18881225585938
1767446139.2741842,725000,-145.08883666992188
1767446155.96537,750000,-145.08883666992188
1767446157.781286,753664,-145.08883666992188
1767446183.4825163,775000,-146.18881225585938
1767446188.7747672,786432,-146.18881225585938
1767446210.6302407,800000,-145.08883666992188
1767446219.4595284,819200,-145.08883666992188
1767446237.5393622,825000,-146.18881225585938
1767446254.200685,850000,-146.18881225585938
1767446255.170324,851968,-146.18881225585938
1767446281.2040498,875000,-146.18881225585938
1767446285.7411013,884736,-146.18881225585938
1767446308.1774995,900000,-145.08883666992188
1767446316.3178177,917504,-145.08883666992188
1767446335.0991683,925000,-146.18881225585938
1767446351.7847927,950000,-146.18881225585938
1767446352.0141456,950272,-146.18881225585938
1767446378.964089,975000,-146.18881225585938
1767446382.7520661,983040,-146.18881225585938
1767446405.628389,1000000,-146.18881225585938
1767446413.0130875,1015808,-146.18881225585938
